Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,18-Mar-19,2039.95,2043,2064.6,2011,2023.85,2022.8,2033.02,2349915,4777435477,116385,867727,36.93
TCS,EQ,19-Mar-19,2022.8,2030,2030,1995.1,2028.5,2022.8,2010.71,2373993,4773416985,135360,1176359,49.55
TCS,EQ,20-Mar-19,2022.8,2028,2044.8,2000,2000.25,2015.05,2025.82,3091165,6262136193,161415,1678488,54.3
TCS,BL,22-Mar-19,1925.65,2015.05,2015.05,2015.05,2015.05,2015.05,2015.05,264913,533812940.7,1,264913,100
TCS,EQ,22-Mar-19,2015.05,2015,2016,1983.3,2010,2005.65,1998.96,3148149,6293031837,155770,1787595,56.78
TCS,EQ,25-Mar-19,2005.65,2007.8,2007.8,1977.2,1980.8,1984.25,1987.88,2429205,4828960486,94852,1430988,58.91
TCS,EQ,26-Mar-19,1984.25,1984,1994.95,1958.05,1977.4,1982.65,1971.46,2316539,4566962638,114153,893480,38.57
TCS,EQ,27-Mar-19,1982.65,1994,1998,1961,1964.85,1967.9,1979.12,2266166,4485003551,110306,1163070,51.32
TCS,EQ,28-Mar-19,1967.9,1980,2014.6,1972.8,2004.45,2000.3,1993.96,4054489,8084506923,144600,2150827,53.05
TCS,EQ,29-Mar-19,2000.3,2019,2024.9,1983.55,2000,2001.65,2001.7,2948955,5902926701,134193,1191681,40.41
TCS,EQ,1-Apr-19,2001.65,2010,2039.95,2008.25,2034.95,2031.65,2027.91,2095740,4249964902,109983,748739,35.73
TCS,EQ,2-Apr-19,2031.65,2037.1,2086,2037,2079,2079.3,2064.13,3719663,7677855817,124157,1757245,47.24
TCS,EQ,3-Apr-19,2079.3,2085,2089.6,2058.1,2078.15,2079.3,2073.86,2939886,6096919299,119988,1164726,39.62
TCS,EQ,4-Apr-19,2079.3,2078.15,2079.7,2007.4,2017,2014.5,2039.77,4397518,8969909269,145227,2310866,52.55
TCS,EQ,5-Apr-19,2014.5,2028.65,2054.4,2018.8,2051,2048.3,2037.19,3152103,6421435440,96704,1536645,48.75
TCS,EQ,8-Apr-19,2048.3,2059,2075,2032.7,2073.6,2070.75,2056.64,2194294,4512880261,130397,788699,35.94
TCS,EQ,9-Apr-19,2070.75,2070,2098,2057.65,2087.45,2091.5,2085.63,2690970,5612369594,122603,1036682,38.52
TCS,EQ,10-Apr-19,2091.5,2083,2085.5,2036,2043.65,2040.25,2053.91,3313062,6804718227,168190,1821699,54.99
TCS,EQ,11-Apr-19,2040.25,2045,2055,2013.65,2025,2019.5,2028.47,3422442,6942308979,133153,1568180,45.82
TCS,EQ,12-Apr-19,2019.5,2038,2039,2007,2013.05,2014.5,2019.97,3198471,6460808052,126989,1040440,32.53
TCS,EQ,15-Apr-19,2014.5,2070,2119.8,2041,2113,2113.3,2086.02,9189201,19168862828,282918,3402175,37.02
TCS,EQ,16-Apr-19,2113.3,2120,2155.95,2115.55,2137,2131.8,2137.54,5771952,12337757820,222230,2514452,43.56
TCS,EQ,18-Apr-19,2131.8,2149.9,2155,2114.2,2149.25,2150.05,2138.81,3413728,7301311596,159168,1564757,45.84
TCS,EQ,22-Apr-19,2150.05,2148,2176,2145.6,2160.3,2161.45,2165.74,2007135,4346926221,79881,717594,35.75
TCS,EQ,23-Apr-19,2161.45,2163,2165.5,2134.05,2163,2155.05,2147.21,2163524,4645533582,88782,970246,44.85
TCS,EQ,24-Apr-19,2155.05,2158,2195,2156.1,2168.6,2183.45,2172.32,3003071,6523621910,128669,1718919,57.24
TCS,EQ,25-Apr-19,2183.45,2175,2205,2168.05,2203,2195,2189.55,4211526,9221344246,108403,2971130,70.55
TCS,EQ,26-Apr-19,2195,2203,2243.95,2193.15,2231.1,2238.55,2225.36,2716958,6046198156,110079,1175323,43.26
TCS,EQ,30-Apr-19,2238.55,2238.55,2266.95,2230.1,2256.25,2260.35,2252.48,3488395,7857544876,135194,2026970,58.11
TCS,EQ,2-May-19,2260.35,2255,2259.4,2211.1,2214.7,2215.4,2227.88,2457699,5475449035,106215,1064368,43.31
TCS,EQ,3-May-19,2215.4,2185,2186.05,2125,2137,2132,2153,3780886,8140257404,188561,1641641,43.42
TCS,EQ,6-May-19,2132,2110,2165,2108.5,2155.2,2157.85,2150.11,2891422,6216881349,109314,1224571,42.35
TCS,EQ,7-May-19,2157.85,2160.05,2184.35,2138.8,2154,2151.95,2163.53,2201698,4763441090,86096,975603,44.31
TCS,EQ,8-May-19,2151.95,2151,2168,2130.4,2156,2152.85,2151.85,1824895,3926902425,77713,781526,42.83
